tweet,cleaning,case_folding,tokenize,stopword_removal,stemming,entity,Spam Detection
Warna hitam untuk kamu yang suka menciptakan perjalanan hidup dengan penuh warna. Perkenalkan jaket eksklusif kolaborasi Hyundai CRETA Dynamic Black Edition dengan pionir premium streetwear...,Warna hitam untuk kamu yang suka menciptakan perjalanan hidup dengan penuh warna Perkenalkan jaket eksklusif kolaborasi Hyundai CRETA Dynamic Black Edition dengan pionir premium streetwear,warna hitam untuk kamu yang suka menciptakan perjalanan hidup dengan penuh warna perkenalkan jaket eksklusif kolaborasi hyundai creta dynamic black edition dengan pionir premium streetwear,"['warna', 'hitam', 'untuk', 'kamu', 'yang', 'suka', 'menciptakan', 'perjalanan', 'hidup', 'dengan', 'penuh', 'warna', 'perkenalkan', 'jaket', 'eksklusif', 'kolaborasi', 'hyundai', 'creta', 'dynamic', 'black', 'edition', 'dengan', 'pionir', 'premium', 'streetwear']","['warna', 'hitam', 'suka', 'menciptakan', 'perjalanan', 'hidup', 'penuh', 'warna', 'perkenalkan', 'jaket', 'eksklusif', 'kolaborasi', 'hyundai', 'creta', 'dynamic', 'black', 'edition', 'pionir', 'premium', 'streetwear']",warna hitam suka cipta jalan hidup penuh warna kenal jaket eksklusif kolaborasi hyundai creta dynamic black edition pionir premium streetwear,Hyundai,ham
"Here’s the #StyleAndInnovationInOneSUV, Alvez! ✨ #Alvez tampil dengan eksterior & interior yang sleek & stylish, perjalanan tenang dan aman dengan teknologi ADAS, WIND dan Wuling Remote...",Heres the StyleAndInnovationInOneSUV Alvez  Alvez tampil dengan eksterior  interior yang sleek  stylish perjalanan tenang dan aman dengan teknologi ADAS WIND dan Wuling Remote,heres the styleandinnovationinonesuv alvez  alvez tampil dengan eksterior  interior yang sleek  stylish perjalanan tenang dan aman dengan teknologi adas wind dan wuling remote,"['heres', 'the', 'styleandinnovationinonesuv', 'alvez', 'alvez', 'tampil', 'dengan', 'eksterior', 'interior', 'yang', 'sleek', 'stylish', 'perjalanan', 'tenang', 'dan', 'aman', 'dengan', 'teknologi', 'adas', 'wind', 'dan', 'wuling', 'remote']","['heres', 'the', 'styleandinnovationinonesuv', 'alvez', 'alvez', 'tampil', 'eksterior', 'interior', 'sleek', 'stylish', 'perjalanan', 'tenang', 'aman', 'teknologi', 'adas', 'wind', 'wuling', 'remote']",heres the styleandinnovationinonesuv alvez alvez tampil eksterior interior sleek stylish jalan tenang aman teknologi adas wind wuling remote,Wuling,ham
"Segmentasi pasar SUV yang kita ketahui sekarang 'diacak-acak' oleh Wuling Alvez, melalui pemosisian harganya yang sangat mengejutkan. Mobil ini sekelas Honda HR-V, tapi berbanderol setara Toyota...",Segmentasi pasar SUV yang kita ketahui sekarang diacakacak oleh Wuling Alvez melalui pemosisian harganya yang sangat mengejutkan Mobil ini sekelas Honda HRV tapi berbanderol setara Toyota,segmentasi pasar suv yang kita ketahui sekarang diacakacak oleh wuling alvez melalui pemosisian harganya yang sangat mengejutkan mobil ini sekelas honda hrv tapi berbanderol setara toyota,"['segmentasi', 'pasar', 'suv', 'yang', 'kita', 'ketahui', 'sekarang', 'diacakacak', 'oleh', 'wuling', 'alvez', 'melalui', 'pemosisian', 'harganya', 'yang', 'sangat', 'mengejutkan', 'mobil', 'ini', 'sekelas', 'honda', 'hrv', 'tapi', 'berbanderol', 'setara', 'toyota']","['segmentasi', 'pasar', 'suv', 'ketahui', 'diacakacak', 'wuling', 'alvez', 'pemosisian', 'harganya', 'mengejutkan', 'mobil', 'sekelas', 'honda', 'hrv', 'berbanderol', 'setara', 'toyota']",segmentasi pasar suv tahu diacakacak wuling alvez posisi harga kejut mobil kelas honda hrv banderol tara toyota,Wuling,ham
JUAL BMW E36 323I MANUAL TAUN 1997 SS LENGKAP PAJAK OFF 2017 PLAT 2021 MESIN SEHAT AC DINGIN PW NORMAL SMUA PS ENTENG KAKI2 AMAN CAT MASIH OKE INTERIOR RAPI UDAH FULL MTECH FRP HARGA 48 JUTA...,JUAL BMW E I MANUAL TAUN  SS LENGKAP PAJAK OFF  PLAT  MESIN SEHAT AC DINGIN PW NORMAL SMUA PS ENTENG KAKI AMAN CAT MASIH OKE INTERIOR RAPI UDAH FULL MTECH FRP HARGA  JUTA,jual bmw e i manual taun  ss lengkap pajak off  plat  mesin sehat ac dingin pw normal smua ps enteng kaki aman cat masih oke interior rapi udah full mtech frp harga  juta,"['jual', 'bmw', 'e', 'i', 'manual', 'taun', 'ss', 'lengkap', 'pajak', 'off', 'plat', 'mesin', 'sehat', 'ac', 'dingin', 'pw', 'normal', 'smua', 'ps', 'enteng', 'kaki', 'aman', 'cat', 'masih', 'oke', 'interior', 'rapi', 'udah', 'full', 'mtech', 'frp', 'harga', 'juta']","['jual', 'bmw', 'e', 'i', 'manual', 'taun', 'ss', 'lengkap', 'pajak', 'off', 'plat', 'mesin', 'sehat', 'ac', 'dingin', 'pw', 'normal', 'smua', 'ps', 'enteng', 'kaki', 'aman', 'cat', 'oke', 'interior', 'rapi', 'udah', 'full', 'mtech', 'frp', 'harga', 'juta']",jual bmw e i manual taun ss lengkap pajak off plat mesin sehat ac dingin pw normal smua ps enteng kaki aman cat oke interior rapi udah full mtech frp harga juta,BMW,ham
Bengkel Peredam Mobil Bisa Pasang untuk berbagai Jenis Mobil Peredam Mobil Bandung Pemasangan untuk Area (Home Service) Bandung dan Jawa Barat (Menyesuaikan) Konsultasi GRATIS WA 0821-1717-0110,Bengkel Peredam Mobil Bisa Pasang untuk berbagai Jenis Mobil Peredam Mobil Bandung Pemasangan untuk Area Home Service Bandung dan Jawa Barat Menyesuaikan Konsultasi GRATIS WA ,bengkel peredam mobil bisa pasang untuk berbagai jenis mobil peredam mobil bandung pemasangan untuk area home service bandung dan jawa barat menyesuaikan konsultasi gratis wa ,"['bengkel', 'peredam', 'mobil', 'bisa', 'pasang', 'untuk', 'berbagai', 'jenis', 'mobil', 'peredam', 'mobil', 'bandung', 'pemasangan', 'untuk', 'area', 'home', 'service', 'bandung', 'dan', 'jawa', 'barat', 'menyesuaikan', 'konsultasi', 'gratis', 'wa']","['bengkel', 'peredam', 'mobil', 'pasang', 'jenis', 'mobil', 'peredam', 'mobil', 'bandung', 'pemasangan', 'area', 'home', 'service', 'bandung', 'jawa', 'barat', 'menyesuaikan', 'konsultasi', 'gratis', 'wa']",bengkel redam mobil pasang jenis mobil redam mobil bandung pasang area home service bandung jawa barat sesuai konsultasi gratis wa,Wuling,spam
"Mitsubishi FE119 6 Ban 120PS tahun 1996 Body rakitan Karoseri Tugas Kita Kebetulan lagi turun mesin jadi Bumper depannya dicopot, bumper depan pakai henis Bumper Towing, seat penumpang ada...",Mitsubishi FE  Ban PS tahun  Body rakitan Karoseri Tugas Kita Kebetulan lagi turun mesin jadi Bumper depannya dicopot bumper depan pakai henis Bumper Towing seat penumpang ada,mitsubishi fe  ban ps tahun  body rakitan karoseri tugas kita kebetulan lagi turun mesin jadi bumper depannya dicopot bumper depan pakai henis bumper towing seat penumpang ada,"['mitsubishi', 'fe', 'ban', 'ps', 'tahun', 'body', 'rakitan', 'karoseri', 'tugas', 'kita', 'kebetulan', 'lagi', 'turun', 'mesin', 'jadi', 'bumper', 'depannya', 'dicopot', 'bumper', 'depan', 'pakai', 'henis', 'bumper', 'towing', 'seat', 'penumpang', 'ada']","['mitsubishi', 'fe', 'ban', 'ps', 'body', 'rakitan', 'karoseri', 'tugas', 'turun', 'mesin', 'bumper', 'depannya', 'dicopot', 'bumper', 'pakai', 'henis', 'bumper', 'towing', 'seat', 'penumpang']",mitsubishi fe ban ps body rakit karoseri tugas turun mesin bumper depan copot bumper pakai henis bumper towing seat tumpang,Mitsubishi,ham
"Kombinasi ATGM dan mobil 4x4 Toyota tetap menjadi ""primadona"" di medan pertempuran modern, letalitas ATGM yang bisa menghancurkan semua tank yang tidak dilindungi dengan hard-kill Active Protection...",Kombinasi ATGM dan mobil x Toyota tetap menjadi primadona di medan pertempuran modern letalitas ATGM yang bisa menghancurkan semua tank yang tidak dilindungi dengan hardkill Active Protection,kombinasi atgm dan mobil x toyota tetap menjadi primadona di medan pertempuran modern letalitas atgm yang bisa menghancurkan semua tank yang tidak dilindungi dengan hardkill active protection,"['kombinasi', 'atgm', 'dan', 'mobil', 'x', 'toyota', 'tetap', 'menjadi', 'primadona', 'di', 'medan', 'pertempuran', 'modern', 'letalitas', 'atgm', 'yang', 'bisa', 'menghancurkan', 'semua', 'tank', 'yang', 'tidak', 'dilindungi', 'dengan', 'hardkill', 'active', 'protection']","['kombinasi', 'atgm', 'mobil', 'x', 'toyota', 'primadona', 'medan', 'pertempuran', 'modern', 'letalitas', 'atgm', 'menghancurkan', 'tank', 'dilindungi', 'hardkill', 'active', 'protection']",kombinasi atgm mobil x toyota primadona medan tempur modern letalitas atgm hancur tank lindung hardkill active protection,Toyota,ham
"Berita mengenai penumpang brio kuning gimana ya? Apakah beliau juga mendapat ""ganti rugi""? Berada di mobil trus digebrak orang kaca n kap mesinnya, trus jg ditabrak, secara mental pasti ada...",Berita mengenai penumpang brio kuning gimana ya Apakah beliau juga mendapat ganti rugi Berada di mobil trus digebrak orang kaca n kap mesinnya trus jg ditabrak secara mental pasti ada,berita mengenai penumpang brio kuning gimana ya apakah beliau juga mendapat ganti rugi berada di mobil trus digebrak orang kaca n kap mesinnya trus jg ditabrak secara mental pasti ada,"['berita', 'mengenai', 'penumpang', 'brio', 'kuning', 'gimana', 'ya', 'apakah', 'beliau', 'juga', 'mendapat', 'ganti', 'rugi', 'berada', 'di', 'mobil', 'trus', 'digebrak', 'orang', 'kaca', 'n', 'kap', 'mesinnya', 'trus', 'jg', 'ditabrak', 'secara', 'mental', 'pasti', 'ada']","['berita', 'penumpang', 'brio', 'kuning', 'gimana', 'ya', 'beliau', 'ganti', 'rugi', 'mobil', 'trus', 'digebrak', 'orang', 'kaca', 'n', 'kap', 'mesinnya', 'trus', 'jg', 'ditabrak', 'mental']",berita tumpang brio kuning gimana ya beliau ganti rugi mobil trus gebrak orang kaca n kap mesin trus jg tabrak mental,Honda,ham
Ganteng kalau make bmw,Ganteng kalau make bmw,ganteng kalau make bmw,"['ganteng', 'kalau', 'make', 'bmw']","['ganteng', 'make', 'bmw']",ganteng make bmw,BMW,ham
"Nikmati Program Bunga Spesial Toyota Innova Zenix Gasoline Terbaik dengan rate 2.77%. Proses Cepat dan Mudah. Jadi, tunggu apa lagi ?? Nikmati berbagai Kemudahan dan Penawaran Bunga Spesial...",Nikmati Program Bunga Spesial Toyota Innova Zenix Gasoline Terbaik dengan rate  Proses Cepat dan Mudah Jadi tunggu apa lagi  Nikmati berbagai Kemudahan dan Penawaran Bunga Spesial,nikmati program bunga spesial toyota innova zenix gasoline terbaik dengan rate  proses cepat dan mudah jadi tunggu apa lagi  nikmati berbagai kemudahan dan penawaran bunga spesial,"['nikmati', 'program', 'bunga', 'spesial', 'toyota', 'innova', 'zenix', 'gasoline', 'terbaik', 'dengan', 'rate', 'proses', 'cepat', 'dan', 'mudah', 'jadi', 'tunggu', 'apa', 'lagi', 'nikmati', 'berbagai', 'kemudahan', 'dan', 'penawaran', 'bunga', 'spesial']","['nikmati', 'program', 'bunga', 'spesial', 'toyota', 'innova', 'zenix', 'gasoline', 'terbaik', 'rate', 'proses', 'cepat', 'mudah', 'tunggu', 'nikmati', 'kemudahan', 'penawaran', 'bunga', 'spesial']",nikmat program bunga spesial toyota innova zenix gasoline baik rate proses cepat mudah tunggu nikmat mudah tawar bunga spesial,Toyota,spam
Perawatan Berkala untuk Mobil Anda sangatlah penting agar Ketahanan Cat lebih Baik dan Tetap Kinclong.. ?? #DaihatsuTips https://instagram.com/p/CoPcMysPgqI/?igshid=YTgzYjQ4ZTY=…Translate post,Perawatan Berkala untuk Mobil Anda sangatlah penting agar Ketahanan Cat lebih Baik dan Tetap Kinclong  DaihatsuTips  post,perawatan berkala untuk mobil anda sangatlah penting agar ketahanan cat lebih baik dan tetap kinclong  daihatsutips  post,"['perawatan', 'berkala', 'untuk', 'mobil', 'anda', 'sangatlah', 'penting', 'agar', 'ketahanan', 'cat', 'lebih', 'baik', 'dan', 'tetap', 'kinclong', 'daihatsutips', 'post']","['perawatan', 'berkala', 'mobil', 'ketahanan', 'cat', 'kinclong', 'daihatsutips', 'post']",awat kala mobil tahan cat kinclong daihatsutips post,Daihatsu,spam
Baru saja mengirim foto https://instagram.com/p/CochH-_J0Ur/?igshid=YTgzYjQ4ZTY=…Translate post,Baru saja mengirim foto  post,baru saja mengirim foto  post,"['baru', 'saja', 'mengirim', 'foto', 'post']","['mengirim', 'foto', 'post']",kirim foto post,Daihatsu,spam
"Welcome, calon petahana, Toyota GR010 Hybrid! Beneran bakal jadi petahana terus-terusan atau bakal disingkirkan sama pesaing dari LMdH ya kira-kira?Translate post",Welcome calon petahana Toyota GR Hybrid Beneran bakal jadi petahana terusterusan atau bakal disingkirkan sama pesaing dari LMdH ya kirakiraTranslate post,welcome calon petahana toyota gr hybrid beneran bakal jadi petahana terusterusan atau bakal disingkirkan sama pesaing dari lmdh ya kirakiratranslate post,"['welcome', 'calon', 'petahana', 'toyota', 'gr', 'hybrid', 'beneran', 'bakal', 'jadi', 'petahana', 'terusterusan', 'atau', 'bakal', 'disingkirkan', 'sama', 'pesaing', 'dari', 'lmdh', 'ya', 'kirakiratranslate', 'post']","['welcome', 'calon', 'petahana', 'toyota', 'gr', 'hybrid', 'beneran', 'petahana', 'terusterusan', 'disingkirkan', 'pesaing', 'lmdh', 'ya', 'kirakiratranslate', 'post']",welcome calon tahana toyota gr hybrid beneran tahana terusterusan singkir saing lmdh ya kirakiratranslate post,Toyota,ham
"25 Feb 2023 ... Kita bakal dpt Vios baru. Harga RM90k-96k. Enjin 1.5L baru dan platform dia sebenarnya dari Daihatsu/Perodua. Dari tepi, mcm Accord kawin City pun ada.", Feb   Kita bakal dpt Vios baru Harga RMkk Enjin L baru dan platform dia sebenarnya dari DaihatsuPerodua Dari tepi mcm Accord kawin City pun ada, feb   kita bakal dpt vios baru harga rmkk enjin l baru dan platform dia sebenarnya dari daihatsuperodua dari tepi mcm accord kawin city pun ada,"['feb', 'kita', 'bakal', 'dpt', 'vios', 'baru', 'harga', 'rmkk', 'enjin', 'l', 'baru', 'dan', 'platform', 'dia', 'sebenarnya', 'dari', 'daihatsuperodua', 'dari', 'tepi', 'mcm', 'accord', 'kawin', 'city', 'pun', 'ada']","['feb', 'dpt', 'vios', 'harga', 'rmkk', 'enjin', 'l', 'platform', 'daihatsuperodua', 'tepi', 'mcm', 'accord', 'kawin', 'city']",feb dpt vios harga rmkk enjin l platform daihatsuperodua tepi mcm accord kawin city,Daihatsu,ham
Mitsubishi XFC Concept merupakan sebuah konsep untuk mobil compact SUV yang menggabungkan keahlian dan lebih dari seratus tahun pengalaman Mitsubishi Motors dalam pengembangan kendaraan. http://cut...,Mitsubishi XFC Concept merupakan sebuah konsep untuk mobil compact SUV yang menggabungkan keahlian dan lebih dari seratus tahun pengalaman Mitsubishi Motors dalam pengembangan kendaraan ,mitsubishi xfc concept merupakan sebuah konsep untuk mobil compact suv yang menggabungkan keahlian dan lebih dari seratus tahun pengalaman mitsubishi motors dalam pengembangan kendaraan ,"['mitsubishi', 'xfc', 'concept', 'merupakan', 'sebuah', 'konsep', 'untuk', 'mobil', 'compact', 'suv', 'yang', 'menggabungkan', 'keahlian', 'dan', 'lebih', 'dari', 'seratus', 'tahun', 'pengalaman', 'mitsubishi', 'motors', 'dalam', 'pengembangan', 'kendaraan']","['mitsubishi', 'xfc', 'concept', 'konsep', 'mobil', 'compact', 'suv', 'menggabungkan', 'keahlian', 'seratus', 'pengalaman', 'mitsubishi', 'motors', 'pengembangan', 'kendaraan']",mitsubishi xfc concept konsep mobil compact suv gabung ahli ratus alam mitsubishi motors kembang kendara,Mitsubishi,ham
Keinginan Ignis untuk menguasai kekuatan Eternity Core menjadi sangat besar. Gak boleh ketinggalan nih! ULTRAMAN TRIGGER pkl. 11.00 WIB hanya di RTV Makin Cakep⁣⁣⁣⁣⁣ ⁣⁣⁣⁣⁣...,Keinginan Ignis untuk menguasai kekuatan Eternity Core menjadi sangat besar Gak boleh ketinggalan nih ULTRAMAN TRIGGER pkl  WIB hanya di RTV Makin Cakep ,keinginan ignis untuk menguasai kekuatan eternity core menjadi sangat besar gak boleh ketinggalan nih ultraman trigger pkl  wib hanya di rtv makin cakep ,"['keinginan', 'ignis', 'untuk', 'menguasai', 'kekuatan', 'eternity', 'core', 'menjadi', 'sangat', 'besar', 'gak', 'boleh', 'ketinggalan', 'nih', 'ultraman', 'trigger', 'pkl', 'wib', 'hanya', 'di', 'rtv', 'makin', 'cakep']","['ignis', 'menguasai', 'kekuatan', 'eternity', 'core', 'gak', 'ketinggalan', 'nih', 'ultraman', 'trigger', 'pkl', 'wib', 'rtv', 'cakep']",ignis kuasa kuat eternity core gak tinggal nih ultraman trigger pkl wib rtv cakep,Suzuki,spam
Mitsubishi Bali Terima kasih Pak Agus utk pembelian Mitsubishi Canter FE 75 SHDX Semoga usahanya makin sukses Promo DP 30 juta saja Silahkan hub marketing 081239977241,Mitsubishi Bali Terima kasih Pak Agus utk pembelian Mitsubishi Canter FE  SHDX Semoga usahanya makin sukses Promo DP  juta saja Silahkan hub marketing ,mitsubishi bali terima kasih pak agus utk pembelian mitsubishi canter fe  shdx semoga usahanya makin sukses promo dp  juta saja silahkan hub marketing ,"['mitsubishi', 'bali', 'terima', 'kasih', 'pak', 'agus', 'utk', 'pembelian', 'mitsubishi', 'canter', 'fe', 'shdx', 'semoga', 'usahanya', 'makin', 'sukses', 'promo', 'dp', 'juta', 'saja', 'silahkan', 'hub', 'marketing']","['mitsubishi', 'bali', 'terima', 'kasih', 'agus', 'utk', 'pembelian', 'mitsubishi', 'canter', 'fe', 'shdx', 'semoga', 'usahanya', 'sukses', 'promo', 'dp', 'juta', 'silahkan', 'hub', 'marketing']",mitsubishi bal terima kasih agus utk beli mitsubishi canter fe shdx moga usaha sukses promo dp juta silah hub marketing,Mitsubishi,ham
Kata Toyota Soal Mobil Hybrid Tak Dapat Subsidi PemerintahTranslate post,Kata Toyota Soal Mobil Hybrid Tak Dapat Subsidi PemerintahTranslate post,kata toyota soal mobil hybrid tak dapat subsidi pemerintahtranslate post,"['kata', 'toyota', 'soal', 'mobil', 'hybrid', 'tak', 'dapat', 'subsidi', 'pemerintahtranslate', 'post']","['toyota', 'mobil', 'hybrid', 'subsidi', 'pemerintahtranslate', 'post']",toyota mobil hybrid subsidi pemerintahtranslate post,Toyota,ham
SEREMBAN – Polis akan mengambil keterangan pemandu trak pikap Toyota Hilux dan kereta jenis BMW yang terlibat dalam kejadian buli jalanan di Lebuh Raya Seremban Port Dickson (SPDH) seperti...,SEREMBAN  Polis akan mengambil keterangan pemandu trak pikap Toyota Hilux dan kereta jenis BMW yang terlibat dalam kejadian buli jalanan di Lebuh Raya Seremban Port Dickson SPDH seperti,seremban  polis akan mengambil keterangan pemandu trak pikap toyota hilux dan kereta jenis bmw yang terlibat dalam kejadian buli jalanan di lebuh raya seremban port dickson spdh seperti,"['seremban', 'polis', 'akan', 'mengambil', 'keterangan', 'pemandu', 'trak', 'pikap', 'toyota', 'hilux', 'dan', 'kereta', 'jenis', 'bmw', 'yang', 'terlibat', 'dalam', 'kejadian', 'buli', 'jalanan', 'di', 'lebuh', 'raya', 'seremban', 'port', 'dickson', 'spdh', 'seperti']","['seremban', 'polis', 'mengambil', 'keterangan', 'pemandu', 'trak', 'pikap', 'toyota', 'hilux', 'kereta', 'jenis', 'bmw', 'terlibat', 'kejadian', 'buli', 'jalanan', 'lebuh', 'raya', 'seremban', 'port', 'dickson', 'spdh']",seremban polis ambil terang pandu trak pikap toyota hilux kereta jenis bmw libat jadi buli jalan lebuh raya seremban port dickson spdh,Toyota,spam
"Champs!! Kabar gembira nih buat para Alterchamps semua, Alter Ego Esports resmi bekerja sama bersama Hyundai Gowa. Hyundai Gowa merupakan Dealer Group Hyundai terbesar dengan network terluas...",Champs Kabar gembira nih buat para Alterchamps semua Alter Ego Esports resmi bekerja sama bersama Hyundai Gowa Hyundai Gowa merupakan Dealer Group Hyundai terbesar dengan network terluas,champs kabar gembira nih buat para alterchamps semua alter ego esports resmi bekerja sama bersama hyundai gowa hyundai gowa merupakan dealer group hyundai terbesar dengan network terluas,"['champs', 'kabar', 'gembira', 'nih', 'buat', 'para', 'alterchamps', 'semua', 'alter', 'ego', 'esports', 'resmi', 'bekerja', 'sama', 'bersama', 'hyundai', 'gowa', 'hyundai', 'gowa', 'merupakan', 'dealer', 'group', 'hyundai', 'terbesar', 'dengan', 'network', 'terluas']","['champs', 'kabar', 'gembira', 'nih', 'alterchamps', 'alter', 'ego', 'esports', 'resmi', 'hyundai', 'gowa', 'hyundai', 'gowa', 'dealer', 'group', 'hyundai', 'terbesar', 'network', 'terluas']",champs kabar gembira nih alterchamps alter ego esports resmi hyundai gowa hyundai gowa dealer group hyundai besar network luas,Hyundai,spam
Titik Terang Soal Identitas Pengemudi Pajero yang Onani di Bawah JPO SetiabudiTranslate post,Titik Terang Soal Identitas Pengemudi Pajero yang Onani di Bawah JPO SetiabudiTranslate post,titik terang soal identitas pengemudi pajero yang onani di bawah jpo setiabuditranslate post,"['titik', 'terang', 'soal', 'identitas', 'pengemudi', 'pajero', 'yang', 'onani', 'di', 'bawah', 'jpo', 'setiabuditranslate', 'post']","['titik', 'terang', 'identitas', 'pengemudi', 'pajero', 'onani', 'jpo', 'setiabuditranslate', 'post']",titik terang identitas kemudi pajero onani jpo setiabuditranslate post,Mitsubishi,ham
"QRT tweet ini, mention 3 teman, pilih mobil Wuling kesukaan Anda dan berikan impresi Anda dengan hashtag #WulingGJAW2023! 1. Alvez #StyleAndInnovationInOneSUV 2. Air ev #DriveForAGreenLife...",QRT tweet ini mention  teman pilih mobil Wuling kesukaan Anda dan berikan impresi Anda dengan hashtag WulingGJAW  Alvez StyleAndInnovationInOneSUV  Air ev DriveForAGreenLife,qrt tweet ini mention  teman pilih mobil wuling kesukaan anda dan berikan impresi anda dengan hashtag wulinggjaw  alvez styleandinnovationinonesuv  air ev driveforagreenlife,"['qrt', 'tweet', 'ini', 'mention', 'teman', 'pilih', 'mobil', 'wuling', 'kesukaan', 'anda', 'dan', 'berikan', 'impresi', 'anda', 'dengan', 'hashtag', 'wulinggjaw', 'alvez', 'styleandinnovationinonesuv', 'air', 'ev', 'driveforagreenlife']","['qrt', 'tweet', 'mention', 'teman', 'pilih', 'mobil', 'wuling', 'kesukaan', 'impresi', 'hashtag', 'wulinggjaw', 'alvez', 'styleandinnovationinonesuv', 'air', 'ev', 'driveforagreenlife']",qrt tweet mention teman pilih mobil wuling suka impresi hashtag wulinggjaw alvez styleandinnovationinonesuv air ev driveforagreenlife,Wuling,spam
#WulingMotors mau bagi-bagi hadiah di #WulingShareAndWin #GJAW2023 ? Pilih & QRT mobil Wuling kesukaan Anda di #WulingGJAW2023 pada tweet berikutnya dan menangkan hadiah total senilai jutaan...,WulingMotors mau bagibagi hadiah di WulingShareAndWin GJAW  Pilih  QRT mobil Wuling kesukaan Anda di WulingGJAW pada tweet berikutnya dan menangkan hadiah total senilai jutaan,wulingmotors mau bagibagi hadiah di wulingshareandwin gjaw  pilih  qrt mobil wuling kesukaan anda di wulinggjaw pada tweet berikutnya dan menangkan hadiah total senilai jutaan,"['wulingmotors', 'mau', 'bagibagi', 'hadiah', 'di', 'wulingshareandwin', 'gjaw', 'pilih', 'qrt', 'mobil', 'wuling', 'kesukaan', 'anda', 'di', 'wulinggjaw', 'pada', 'tweet', 'berikutnya', 'dan', 'menangkan', 'hadiah', 'total', 'senilai', 'jutaan']","['wulingmotors', 'bagibagi', 'hadiah', 'wulingshareandwin', 'gjaw', 'pilih', 'qrt', 'mobil', 'wuling', 'kesukaan', 'wulinggjaw', 'tweet', 'menangkan', 'hadiah', 'total', 'senilai', 'jutaan']",wulingmotors bagibagi hadiah wulingshareandwin gjaw pilih qrt mobil wuling suka wulinggjaw tweet menang hadiah total nila juta,Wuling,spam
"Hasi investigasi Narasi menyatakan mobil yang menabrak Selvi berjenis Mitsubishi Pajero Sport, bukan Audi yang saat ini supirnya menjadi tersangka. Penumpang mobil Pajero tersebut yakni AKP...",Hasi investigasi Narasi menyatakan mobil yang menabrak Selvi berjenis Mitsubishi Pajero Sport bukan Audi yang saat ini supirnya menjadi tersangka Penumpang mobil Pajero tersebut yakni AKP,hasi investigasi narasi menyatakan mobil yang menabrak selvi berjenis mitsubishi pajero sport bukan audi yang saat ini supirnya menjadi tersangka penumpang mobil pajero tersebut yakni akp,"['hasi', 'investigasi', 'narasi', 'menyatakan', 'mobil', 'yang', 'menabrak', 'selvi', 'berjenis', 'mitsubishi', 'pajero', 'sport', 'bukan', 'audi', 'yang', 'saat', 'ini', 'supirnya', 'menjadi', 'tersangka', 'penumpang', 'mobil', 'pajero', 'tersebut', 'yakni', 'akp']","['hasi', 'investigasi', 'narasi', 'mobil', 'menabrak', 'selvi', 'berjenis', 'mitsubishi', 'pajero', 'sport', 'audi', 'supirnya', 'tersangka', 'penumpang', 'mobil', 'pajero', 'akp']",has investigasi narasi mobil tabrak selvi jenis mitsubishi pajero sport audi supirnya sangka tumpang mobil pajero akp,Mitsubishi,spam
"civic wonder sb3 tahun 87 surat lengkap hidup taat pajak mesin refresh cat baru kerok total PW, PS, AC dingin minus: head unit/audio gak ada harga Rp. 44jt nego losss lokasi sidoarjo tlp 0857325031...",civic wonder sb tahun  surat lengkap hidup taat pajak mesin refresh cat baru kerok total PW PS AC dingin minus head unitaudio gak ada harga Rp jt nego losss lokasi sidoarjo tlp ,civic wonder sb tahun  surat lengkap hidup taat pajak mesin refresh cat baru kerok total pw ps ac dingin minus head unitaudio gak ada harga rp jt nego losss lokasi sidoarjo tlp ,"['civic', 'wonder', 'sb', 'tahun', 'surat', 'lengkap', 'hidup', 'taat', 'pajak', 'mesin', 'refresh', 'cat', 'baru', 'kerok', 'total', 'pw', 'ps', 'ac', 'dingin', 'minus', 'head', 'unitaudio', 'gak', 'ada', 'harga', 'rp', 'jt', 'nego', 'losss', 'lokasi', 'sidoarjo', 'tlp']","['civic', 'wonder', 'sb', 'surat', 'lengkap', 'hidup', 'taat', 'pajak', 'mesin', 'refresh', 'cat', 'kerok', 'total', 'pw', 'ps', 'ac', 'dingin', 'minus', 'head', 'unitaudio', 'gak', 'harga', 'rp', 'jt', 'nego', 'losss', 'lokasi', 'sidoarjo', 'tlp']",civic wonder sb surat lengkap hidup taat pajak mesin refresh cat kerok total pw ps ac dingin minus head unitaudio gak harga rp jt nego losss lokasi sidoarjo tlp,Honda,ham
"Hahaha barusan liat billboard hyundai, lucu lucu asli bikin baper hahaha #DiantarSangBintang",Hahaha barusan liat billboard hyundai lucu lucu asli bikin baper hahaha DiantarSangBintang,hahaha barusan liat billboard hyundai lucu lucu asli bikin baper hahaha diantarsangbintang,"['hahaha', 'barusan', 'liat', 'billboard', 'hyundai', 'lucu', 'lucu', 'asli', 'bikin', 'baper', 'hahaha', 'diantarsangbintang']","['hahaha', 'barusan', 'liat', 'billboard', 'hyundai', 'lucu', 'lucu', 'asli', 'bikin', 'baper', 'hahaha', 'diantarsangbintang']",hahaha barusan liat billboard hyundai lucu lucu asli bikin baper hahaha diantarsangbintang,Hyundai,ham
